name,qty,category,is_wasted,days_to_expiry
Bread,7,Vegetable,1,4.867810974599517
Cheese,12,Vegetable,1,3.5724511675223645
Milk,8,Dairy,1,4.559956332323755
Cheese,15,Bakery,1,2.379309934177894
Cheese,3,Bakery,1,6.81675774364496
Banana,14,Fruit,0,6.332896854274652
Milk,17,Bakery,1,0.6506204291806448
Milk,4,Fruit,1,6.540164280586082
Milk,18,Bakery,0,5.6793642616815525
Cheese,8,Dairy,1,5.215889188358055
Bread,4,Bakery,0,8.692837758371905
Milk,2,Fruit,0,9.055402894767878
Tomato,6,Fruit,1,5.5639165570829325
Cheese,10,Dairy,0,6.69046531982252
Banana,4,Bakery,0,8.97807991519469
Bread,18,Bakery,0,4.589059562830618
Tomato,12,Dairy,0,7.009025218878255
Tomato,2,Bakery,1,6.20527098784826
Banana,10,Bakery,0,6.778598827547179
Bread,4,Fruit,1,5.989113307370427
Cheese,14,Bakery,0,6.7669199004640594
Apple,16,Bakery,0,5.240485402972284
Bread,15,Dairy,0,5.291771818224312
Banana,8,Dairy,0,8.028751625794056
Tomato,14,Vegetable,1,3.1590641399123554
Cheese,8,Fruit,1,4.12426412467598
Bread,16,Bakery,0,4.931919949910489
Apple,13,Bakery,0,6.648264428247441
Apple,18,Vegetable,1,1.8140064204947142
Milk,15,Bakery,0,4.265150567466201
Milk,13,Fruit,0,6.340989569501446
Banana,9,Vegetable,0,7.763228179310162
Bread,15,Fruit,1,2.0812093041184427
Bread,13,Vegetable,1,3.4385930327910494
Tomato,1,Vegetable,1,7.63615955866036
Tomato,7,Dairy,0,8.098186970032222
Tomato,9,Fruit,0,6.987191852383535
Milk,1,Bakery,1,6.438769260233708
Bread,12,Bakery,1,3.406516949883276
Bread,8,Fruit,1,4.7888847959865455
Apple,11,Bakery,1,3.7314122998665913
Milk,19,Bakery,0,4.550798182673086
Cheese,17,Fruit,1,1.826527303539814
Milk,8,Vegetable,0,7.69031148687011
Cheese,3,Fruit,1,6.582405291164217
Apple,3,Vegetable,0,8.567584423568496
Banana,1,Bakery,1,6.754355899813692
Bread,5,Bakery,1,5.55288182351388
Apple,10,Bakery,1,4.460333357856536
Bread,7,Dairy,1,4.786638772225319
Tomato,9,Vegetable,0,7.626524155524881
Banana,7,Dairy,1,5.451343732731356
Banana,9,Dairy,0,6.375098531417885
Apple,8,Fruit,0,8.184315621725267
Banana,12,Dairy,0,5.907309101437157
Cheese,2,Fruit,0,8.853029795465764
Banana,1,Fruit,1,5.260271553263811
Bread,16,Dairy,0,4.7984111674936765
Bread,5,Vegetable,0,8.497571527674484
Bread,3,Vegetable,0,8.908338346867048
